"","Titulo","Autor","Editorial","Precio","Valoracion","Cant_coment","Cant_pag","Formato","URL"
"951","Fortnite Cap¡tulo 2 - PETTMAN, KEVIN...","PETTMAN, KEVIN","ROCA EDITORIAL",36590,0,0,NA,"Tapa Blanda","https://www.linio.cl/p/fortnite-cap-tulo-2-pettman-kevin-tq83h0"
"952","Tocar el cielo - ZUBIETA,HAIZEA M....","ZUBIETA,HAIZEA M.","ROCA EDITORIAL",38890,0,0,320,"Tapa Blanda","https://www.linio.cl/p/tocar-el-cielo-zubieta-haizea-m-vdrfys"
"953","La Razón De Estar Contigo. Un Nuevo Via...","Bruce W. Cameron","Roca",12900,0,0,336,"Tapa Blanda","https://www.linio.cl/p/la-razo-n-de-estar-contigo-un-nuevo-viaje-2-yme5kc"
"954","La Selección Estuche...","Kiera Cass","Roca bolsillo",66790,0,0,992,"Tapa Blanda","https://www.linio.cl/p/la-seleccio-n-estuche-n58adf"
"955","La Corona (La Selección #5)...","Kiera Cass","Roca",9900,0,0,272,"Tapa Blanda","https://www.linio.cl/p/la-corona-la-seleccio-n-5--jtc6us"
"956","La Sirena (Historias De La Selección)...","Kiera Cass","Roca",9900,0,0,272,"Tapa Blanda","https://www.linio.cl/p/la-sirena-historias-de-la-seleccio-n--onrm8k"
"957","La Razon De Estar Contigo #1...","W. Bruce Cameron","Roca",11000,0,0,320,"Tapa Blanda","https://www.linio.cl/p/la-razon-de-estar-contigo-1-osktks"
"958","La Razón De Estar Contigo. El Regreso A...","Bruce W. Cameron","Roca",9900,5,1,336,"Tapa Blanda","https://www.linio.cl/p/la-razo-n-de-estar-contigo-el-regreso-a-casa-3-qeb166"
"959","La Razón De Estar Contigo. La Historia...","Bruce W. Cameron","Roca",9900,0,0,176,"Tapa Blanda","https://www.linio.cl/p/la-razo-n-de-estar-contigo-la-historia-bailey-x11j78"
"960","La Razón De Estar Contigo. La Historia...","Bruce W. Cameron","Roca",9900,0,0,176,"Tapa Blanda","https://www.linio.cl/p/la-razo-n-de-estar-contigo-la-historia-de-ellie-4-yndzqi"
"961","LIBRO JUVENIL RECREALIBROS LILUS KIKUS...","Elena Poniatowska y María Fernanda Piderit","RecreaLibros",12900,0,0,76,"Tapa Dura","https://www.linio.cl/p/libro-juvenil-recrealibros-lilus-kikus-qdjczx"
"962","THE BEAUTIFUL ONES...","PRINCE","RecreaLibros",16890,0,0,288,"Tapa Dura","https://www.linio.cl/p/the-beautiful-ones-lc87dl"
"963","Chile en dibujos...","Francisca Villalon","Reservoir Books",15890,0,0,200,"Tapa Blanda","https://www.linio.cl/p/chile-en-dibujos-orzbni"
"964","Diario De Un Vampiro En Pijama...","Mathias Malzieu","Reservoir Books",10000,0,0,136,"Tapa Blanda","https://www.linio.cl/p/diario-de-un-vampiro-en-pijama-to5yl6"
"965","JANIS JOPLIN...","ROMERO, SOLEDAD; PAINO, GERMaN","Reservoir Books",12090,0,0,64,"Tapa Dura","https://www.linio.cl/p/janis-joplin-ypvvrj"
"966","QUERIDO NIÑO - ROSENTHAL, PARIS/ROSENTH...","ROSENTHAL, PARIS/ROSENTHAL, JASON","RBA",32290,0,0,40,"Tapa Dura","https://www.linio.cl/p/querido-nin-o-rosenthal-paris-rosenthal-jason-jr4yyb"
"967","Una muy breve historia de casi todo...","BRYSON, BILL","RBA",52990,0,0,176,"Tapa Dura","https://www.linio.cl/p/una-muy-breve-historia-de-casi-todo-jseh28"
"968","ÈRASE UNA VEZ UN CUENTO...","VV.AA.","RBA",43790,0,0,264,"Tapa Dura","https://www.linio.cl/p/e-rase-una-vez-un-cuento-lf9r1v"
"969","¡Feliz cumpleaños! 10 pasos pra disfru...","FERRY, BETH","RBA",32290,0,0,48,"Tapa Dura","https://www.linio.cl/p/-feliz-cumplean-os-10-pasos-pra-disfrutar-de-tu-d-a-lh4r1s"
"970","Charlie se convierte en T-Rex...","COPELAND, SAM/HORNE, SARAH","RBA",32290,0,0,296,"Tapa Dura","https://www.linio.cl/p/charlie-se-convierte-en-t-rex-n1oxio"
"971","WILLA DE LOS BOSQUES...","BEATTY, ROBERT","RBA",36890,0,0,400,"Tapa Blanda","https://www.linio.cl/p/willa-de-los-bosques-oo1esw"
"972","Viaje submarino - MONTGOMERY, R.A....","MONTGOMERY, R.A.","RBA",27590,0,0,144,"Tapa Dura","https://www.linio.cl/p/viaje-submarino-montgomery-ra-optpm8"
"973","Chica lobo 2. La huida...","DO, ANH","RBA",32290,0,0,224,"Tapa Dura","https://www.linio.cl/p/chica-lobo-2-la-huida-oqf580"
"974","NUEVAS COMPAÑERAS. TORRES DE MALORY 13...","BLYTON, ENID","RBA",27590,0,0,208,"Tapa Dura","https://www.linio.cl/p/nuevas-compan-eras-torres-de-malory-13-or0kts"
"975","Las marcas de la muerte...","ROTH, VERONICA","RBA",15590,0,0,NA,"Tapa Blanda","https://www.linio.cl/p/las-marcas-de-la-muerte-qbjy2m"
"976","MONSTRUO DE LA COCINA...","ORO, BEGOÑA","RBA",32290,0,0,272,"Tapa Blanda","https://www.linio.cl/p/monstruo-de-la-cocina-qc66wg"
"977","No todos somos iguales....","SALTZBERG, BARNEY","RBA",32290,0,0,NA,"Tapa Dura","https://www.linio.cl/p/no-todos-somos-iguales-s3a50w"
"978","ESPIA QUE FLIPABA CON LA COMIDA DEL COLE...","BUTCHART, PAMELA","RBA",27590,0,0,256,"Tapa Dura","https://www.linio.cl/p/espia-que-flipaba-con-la-comida-del-cole-pandilla-misterio-tnubhs"
"979","UN CAPITÁN DE QUINCE AÑOS...","VERNE, JULIO","RBA",27590,0,0,288,"Tapa Dura","https://www.linio.cl/p/un-capita-n-de-quince-an-os-tnrmb7"
"980","LA CASITA DE MADERA - ZAPLANA, CARLA...","ZAPLANA, CARLA","RBA",39190,0,0,96,"Tapa Dura","https://www.linio.cl/p/la-casita-de-madera-zaplana-carla-tq81ww"
"981","Dos años de vacaciones...","VERNE, JULIO","RBA",27590,0,0,336,"Tapa Dura","https://www.linio.cl/p/dos-an-os-de-vacaciones-vapj77"
"982","Mini T. Rex y el abrazo imposible...","STUTZMAN, JONATHAN","RBA",32290,0,0,48,"Tapa Dura","https://www.linio.cl/p/mini-t-rex-y-el-abrazo-imposible-vbaysz"
"983","MAR DE ACERO - PARKER, NATALIE C....","PARKER, NATALIE C.","RBA",41490,0,0,416,"Tapa Blanda","https://www.linio.cl/p/mar-de-acero-parker-natalie-c-vckj74"
"984","DIARIO DE ROWLEY - KINNEY, JEFF...","KINNEY, JEFF","RBA",34590,0,0,NA,"Tapa Blanda","https://www.linio.cl/p/diario-de-rowley-kinney-jeff-vecu0g"
"985","Más allá del espacio...","MONTGOMERY, R.A.","RBA",27590,0,0,160,"Tapa Dura","https://www.linio.cl/p/ma-s-alla-del-espacio-wzig34"
"986","RETORNO A CERO. GENERACION UNO 3...","LORE, PITTACUS","RBA",41490,0,0,560,"Tapa Blanda","https://www.linio.cl/p/retorno-a-cero-generacion-uno-3-x03vow"
"987","DE TIRILLAS A NINJA - DO, ANH...","DO, ANH","RBA",27590,0,0,192,"Tapa Blanda","https://www.linio.cl/p/de-tirillas-a-ninja-do-anh-x0pbao"
"988","DUDAS DE DAISY, LAS - DOUGHERTY, BRANDI...","DOUGHERTY, BRANDI","RBA",27590,0,0,112,"Tapa Blanda","https://www.linio.cl/p/dudas-de-daisy-las-dougherty-brandi-x1w6i8"
"989","CAMPAMENTO DE ESPIAS. COLE DE ESPIAS 2...","GIBBS, STUART","RBA",36890,0,0,304,"Tapa Blanda","https://www.linio.cl/p/campamento-de-espias-cole-de-espias-2-yl9hrk"
"990","UN HUEVO MUY BUENO - VV.AA...","VV.AA","RBA",32290,0,0,40,"Tapa Dura","https://www.linio.cl/p/un-huevo-muy-bueno-vvaa-ymz3eb"
"991","SIGNO DE LOS CUATRO, EL. SHERLOCK HOLMES...","DOYLE, ARTHUR CONAN","RBA",27590,0,0,240,"Tapa Dura","https://www.linio.cl/p/signo-de-los-cuatro-el-sherlock-holmes-2-ynn86o"
"992","DIARIO DE GREG 15 - TOCADO Y HUNDIDO...","kinney jeff","rba molino",42419,0,0,224,"Tapa Dura","https://www.linio.cl/p/diario-de-greg-15-tocado-y-hundido-ypwz34"
"993","La Horrible Realidad (Diario De Greg #5)...","Jeff Kinney","RBA",14900,0,0,217,"Tapa Blanda","https://www.linio.cl/p/la-horrible-realidad-diario-de-greg-5--lfajlq"
"994","Un Renacuajo (Diario De Greg #1)...","Jeff Kinney","RBA",14900,0,0,217,"Tapa Blanda","https://www.linio.cl/p/un-renacuajo-diario-de-greg-1--oshyyp"
"995","Albert Desalvo - PLA, JORDI - QUARENTENA...","PLA, JORDI","QUARENTENA EDICIONES",22990,0,0,48,"Tapa Blanda","https://www.linio.cl/p/albert-desalvo-pla-jordi-quarentena-ediciones-lh513i"
"996","Ted Bundy - FERRIS, ANGEL / FONTANET, NU...","FERRIS, ANGEL / FONTANET, NURIA","QUARENTENA EDICIONES",22990,0,0,48,"Tapa Blanda","https://www.linio.cl/p/ted-bundy-ferris-angel-fontanet-nuria-quarentena-ediciones-os7q32"
"997","Tinieblas - BOIX, JUAN - QUARENTENA EDIC...","BOIX, JUAN","QUARENTENA EDICIONES",22990,0,0,64,"Tapa Blanda","https://www.linio.cl/p/tinieblas-boix-juan-quarentena-ediciones-qfr2ku"
"998","Padre - PASTOR, JORDI - QUARENTENA EDICI...","PASTOR, JORDI","QUARENTENA EDICIONES",22990,0,0,48,"Tapa Blanda","https://www.linio.cl/p/padre-pastor-jordi-quarentena-ediciones-youdfy"
"999","La Mision Secreta Y Alucinante De Gertie...","Kate Beasley","EDICIONES URANO S.A.",10890,0,0,256,"Tapa Blanda","https://www.linio.cl/p/la-mision-secreta-y-alucinante-de-gertie-lcar8a"
"1000","Alas (Saga Alas I)...","Aprilynne Pike","EDICIONES URANO S.A.",13490,0,0,288,"Tapa Blanda","https://www.linio.cl/p/alas-saga-alas-i--lggsgg"
